순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,전체,13.2	
2,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,전체,7.0	
3,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,전체,6.2	
4,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,전체,5.7	
5,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,전체,5.3	
6,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,전체,5.2	
7,b9dc3865498d79141065bc74ea791de7,CGV용산아이파크몰,문화생활시설,전체,4.3	
8,97c0a1427be208a8ca50e879baa895c4,올림픽공원,관광명소,전체,4.3	
9,ac50c8b01e74f605a64ac86543f58c2a,헌릉과 인릉,관광명소,전체,3.4	
10,eae638a0117eda42a27a586f77cc0cd3,반포한강공원,관광명소,전체,3.2	
11,4c259dd1d968533026e3c9a60cc4c34a,서울숲,관광명소,전체,2.9	
12,8f9c104f2123fcd914e1cf5de0baef0b,서울식물원,관광명소,전체,2.7	
13,b2e840beb2fcb66bb33d988c822656ad,뚝섬한강공원,관광명소,전체,2.7	
14,48d711bc1a903d95d891501dd96cdf06,경복궁,관광명소,전체,2.7	
15,8ba57fda99dae27f1df09914dc84eb37,서울월드컵경기장,레저/스포츠,전체,2.4	
16,72052bd332dcb27c72a17ad8b6cf960a,국립현대미술관서울관,문화생활시설,전체,2.4	
17,81bf1d15ad057d0cc8f1eb7bc402dd7c,전쟁기념관,문화생활시설,전체,2.4	
18,7604329d44b67a24da33a6315b69679d,코엑스마곡,문화생활시설,전체,2.2	
19,273e0e5b0ac26479b4d07c1f7be5b5a0,잠실야구장,레저/스포츠,전체,2.2	
20,4ad99170855561c905cd752d5890235a,국립극장,문화생활시설,전체,2.2	
21,9dac72fa7ebfaa2eca0d9f9e4e8ddcff,팔각정북악스카이,관광명소,전체,2.1	
22,9d58042af96868b01de11722f6a2975f,망원한강공원,관광명소,전체,2.0	
23,6e83a36a9b7bd04680c637b8f44a99ab,봉은사,종교,전체,1.9	
24,23c0e519b9f507a3d130b518ade94d73,잠원한강공원,관광명소,전체,1.7	
25,7a26ab6765d89defa50ba1df5722052c,고척스카이돔,레저/스포츠,전체,1.7	
26,1e7e1c95ad993fbfa0a1906e8e0fbef9,평화의공원,관광명소,전체,1.6	
27,e8db6383a56dd839d95281dd990a271e,SETEC,문화생활시설,전체,1.6	
28,6257a372012ce4533ac095b54fd0225d,잠실한강공원,관광명소,전체,1.6	
29,1d97509dda804ea7abc88d81971a0322,북서울꿈의숲,관광명소,전체,1.5	
30,73bc00a87254e3456a406922d1ca45a4,롯데월드아쿠아리움,관광명소,전체,1.5	
